#FID IID
4024108 4024108
4699581 4699581
3194250 3194250
4017674 4017674
1699821 1699821
4396840 4396840
5132495 5132495
1161253 1161253
4139603 4139603
4577592 4577592
1655436 1655436
3966160 3966160
2189693 2189693
1423241 1423241
5249869 5249869
1534012 1534012
4995179 4995179
4888065 4888065
4130093 4130093
1529143 1529143
2049571 2049571
2660151 2660151
3603889 3603889
4578110 4578110
2748230 2748230
5907731 5907731
1347567 1347567
2006043 2006043
1852121 1852121
1009182 1009182
4414345 4414345
3476669 3476669
1567673 1567673
1648311 1648311
5285678 5285678
2997999 2997999
3652309 3652309
4770391 4770391
4760150 4760150
3041769 3041769
1570137 1570137
1428933 1428933
2217086 2217086
2825381 2825381
4476549 4476549
2685441 2685441
3630737 3630737
3648882 3648882
1868918 1868918
2943261 2943261
3120634 3120634
1983580 1983580
3347770 3347770
5607510 5607510
3102447 3102447
3823260 3823260
5780466 5780466
1718708 1718708
3091637 3091637
4571624 4571624
1676362 1676362
5832137 5832137
5137784 5137784
1382503 1382503
4484968 4484968
2198387 2198387
4090247 4090247
1850777 1850777
2152953 2152953
5618635 5618635
5971921 5971921
2243576 2243576
1535205 1535205
5512397 5512397
2171440 2171440
5655052 5655052
1313932 1313932
1257739 1257739
2151040 2151040
1080241 1080241
1646821 1646821
1044472 1044472
5295828 5295828
2732184 2732184
1644808 1644808
4767232 4767232
3779765 3779765
4100199 4100199
5103024 5103024
4894073 4894073
